"File","Line","Tag","Id","Class","IdRaw","ClassRaw","Snippet"
"app\e2e\components\Jobs\JobListing\JobCard\MissingLanguagesModal\components\MissingLanguageRow\index.tsx","53","button","","","","","<button"
"app\e2e\components\Jobs\JobListing\JobCard\MissingLanguagesModal\components\MissingLanguageRow\index.tsx","64","button","","","","","<button"
"app\e2e\components\Jobs\JobListing\JobCard\MissingLanguagesModal\components\MissingLanguageRow\index.tsx","75","button","","","","","<button"
"app\e2e\components\Jobs\JobListing\JobCard\MissingLanguagesModal\index.tsx","143","button","","","","","<button"
"app\e2e\components\Jobs\JobsDashboard.tsx","187","button","","","","","<button"
"app\e2e\components\Jobs\ViewJob\View\Card.tsx","146","button","","","","","<button"
"app\e2e\components\Jobs\ViewJob\View\JobDescription\index.tsx","442","button","","","","","<button"
"app\e2e\components\Jobs\ViewJob\View\JobDescription\index.tsx","458","button","","","","","<button"
"app\e2e\components\Jobs\ViewJob\View\JobDescription\JobDescriptionLargeScreen\index.tsx","460","button","","","","","<button"
"app\e2e\components\Jobs\ViewJob\View\JobDescription\JobDescriptionLargeScreen\index.tsx","477","button","","","","","<button"
"app\e2e\components\Jobs\ViewJob\View\ResumeAnalyzedReport\index.tsx","16","button","","analyse-btn","","""analyse-btn""","{/* <button className=""analyse-btn"">Reanalyze</button> */}"
"app\e2e\components\Jobs\ViewJob\View\RoundStatus\index.tsx","137","Button","","","","","<Button"
"app\e2e\components\Jobs\ViewJob\View\RoundStatus\index.tsx","149","Button","","","","","<Button"
"app\e2e\components\Jobs\ViewJob\View\RoundStatus\index.tsx","181","Button","","","","","<Button"
"app\e2e\components\Jobs\ViewJob\ViewMobileJob\FloaterBtn\index.tsx","67","button","","apply-btn","","""apply-btn""","<button className=""apply-btn"" onClick={handleClick}>"
"app\e2e\components\Jobs\ViewJob\ViewMobileJob\ViewMobJobDashboard.tsx","303","button","","","","","<button"
"app\e2e\components\Jobs\ViewJob\ViewMobileJob\ViewMobJobDashboard.tsx","322","button","","","","","<button"
"app\e2e\components\Jobs\ViewJob\ViewMobileJob\ViewMobJobDashboard.tsx","448","button","","","","","<button"
